company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Columbia Pictures Corporation,USA,Walter Hill,Drama,0,5839031,11415,Crossroads,R,3/14/1986,99,7.1,Ralph Macchio,John Fusco,1986
De Haven Productions,UK,David Anspaugh,Drama,6000000,28607524,36604,Hoosiers,PG,2/27/1987,114,7.6,Gene Hackman,Angelo Pizzo,1986
Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,0,300653,16571,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,Andrei Tarkovsky,1986
Cinema '85,USA,James Foley,Crime,6500000,2347000,11607,At Close Range,R,4/18/1986,111,7,Sean Penn,Elliott Lewitt,1986
Blueline Productions,USA,Peter Markle,Drama,0,15448384,10412,Youngblood,R,1/31/1986,110,6.1,Rob Lowe,Peter Markle,1986
Seasonal Film Corporation,USA,Corey Yuen,Action,0,4662137,12803,"No Retreat, No Surrender",PG,5/2/1986,85,5.6,Kurt McKinney,See-Yuen Ng,1986
Universal Pictures,USA,Anthony Perkins,Horror,0,14481606,10022,Psicosis III,R,7/2/1986,93,5.3,Anthony Perkins,Charles Edward Pogue,1986
Paramount Pictures,USA,Mike Nichols,Comedy,20000000,25314289,7570,Heartburn,R,7/25/1986,108,6.1,Meryl Streep,Nora Ephron,1986
Warner Bros.,USA,Michael Chapman,Adventure,15000000,1953732,5340,The Clan of the Cave Bear,R,1/17/1986,98,5.3,Daryl Hannah,Jean M. Auel,1986
Golan-Globus Productions,USA,Menahem Golan,Action,12000000,17768900,15819,The Delta Force,R,2/14/1986,125,5.6,Chuck Norris,James Bruner,1986
Warner Bros.,USA,Wes Craven,Drama,0,8988731,5419,Deadly Friend,R,10/10/1986,91,5.5,Matthew Labyorteaux,Diana Henstell,1986
TriStar Pictures,USA,Edward Zwick,Comedy,0,38702310,12307,About Last Night...,R,7/2/1986,113,6.2,Rob Lowe,David Mamet,1986
Balcor Film Investors,USA,Steve Miner,Comedy,0,27820000,6440,Soul Man,PG-13,10/24/1986,104,5.2,C. Thomas Howell,Carol Black,1986
