company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Lions Gate Films,USA,Martha Coolidge,Comedy,0,28165882,33861,The Prince and Me,PG,4/2/2004,111,5.9,Julia Stiles,Mark Amin,2004
Dimension Films,USA,Todd Phillips,Comedy,60000000,88237754,125648,Starsky & Hutch,PG-13,3/5/2004,101,6.1,Ben Stiller,William Blinn,2004
Twentieth Century Fox Film Corporation,USA,John Moore,Action,45000000,21009180,47448,Flight of the Phoenix,PG-13,12/17/2004,113,6.1,Dennis Quaid,Lukas Heller,2004
Alcon Entertainment,USA,Andy Cadiff,Comedy,23000000,12189514,31901,Chasing Liberty,PG-13,1/9/2004,101,6.1,Mandy Moore,Derek Guiley,2004
Antidote Films (I),USA,Gregg Araki,Drama,0,697181,59675,Mysterious Skin,UNRATED,6/24/2005,105,7.7,Brady Corbet,Gregg Araki,2004
Fox 2000 Pictures,USA,Bart Freundlich,Adventure,18000000,16702864,8514,Catch That Kid,PG,2/6/2004,91,5.2,Kristen Stewart,Nikolaj Arcel,2004
Universal Pictures,UK,Richard Loncraine,Comedy,31000000,17001133,54188,Wimbledon,PG-13,9/17/2004,98,6.3,Kirsten Dunst,Adam Brooks,2004
Screen Gems,USA,Angela Robinson,Action,3500000,96793,12868,D.E.B.S.,PG-13,3/25/2005,91,5.3,Sara Foster,Angela Robinson,2004
New Line Cinema,USA,David R. Ellis,Action,25000000,32003620,82822,Cellular,PG-13,9/10/2004,94,6.5,Kim Basinger,Larry Cohen,2004
Warp Films,UK,Shane Meadows,Crime,0,6013,42662,Dead Man's Shoes,NOT RATED,10/1/2004,90,7.7,Paddy Considine,Paddy Considine,2004
Dimension Films,Netherlands,Renny Harlin,Crime,27000000,4480744,51913,La isla maldita,R,5/13/2005,106,6.4,Val Kilmer,Wayne Kramer,2004
Fox Searchlight Pictures,USA,David O. Russell,Comedy,22000000,12784713,58556,I Heart Huckabees,R,10/22/2004,107,6.7,Jason Schwartzman,David O. Russell,2004
Twentieth Century Fox Film Corporation,USA,Peter Hewitt,Animation,35000000,75369589,64907,Garfield,PG,6/11/2004,80,5,Breckin Meyer,Jim Davis,2004
EuropaCorp,France,Pierre Morel,Action,0,1197786,58967,District B13,R,6/2/2006,84,7.2,Cyril Raffaelli,Luc Besson,2004
Fox Searchlight Pictures,USA,Bill Condon,Biography,11000000,10214647,44032,Kinsey,R,1/7/2005,118,7.1,Liam Neeson,Bill Condon,2004
Revolution Studios,USA,Joseph Ruben,Drama,42000000,66641205,59556,The Forgotten,PG-13,9/24/2004,91,5.8,Julianne Moore,Gerald Di Pego,2004
Paramount Pictures,USA,Steven Brill,Adventure,19000000,58169327,39199,Without a Paddle,PG-13,8/20/2004,95,5.9,Matthew Lillard,Fred Wolf,2004
FilmFour,Argentina,Walter Salles,Adventure,0,16756372,87264,The Motorcycle Diaries,R,10/15/2004,126,7.8,Gael García Bernal,Ernesto 'Che' Guevara,2004
Miramax,USA,Kevin Smith,Comedy,35000000,25266129,57178,Jersey Girl,PG-13,3/26/2004,102,6.2,Ben Affleck,Kevin Smith,2004
Beijing New Picture Film Co.,China,Yimou Zhang,Action,0,11050094,96858,House of Flying Daggers,PG-13,1/14/2005,119,7.6,Ziyi Zhang,Feng Li,2004
Focus Features,USA,Mira Nair,Drama,23000000,16136476,18147,Vanity Fair,PG-13,9/1/2004,141,6.2,Reese Witherspoon,Matthew Faulk,2004
Jet Tone Films,Hong Kong,Kar-Wai Wong,Drama,12000000,261481,44039,2046,R,9/29/2004,129,7.5,Tony Chiu-Wai Leung,Kar-Wai Wong,2004
Metro-Goldwyn-Mayer (MGM),USA,Jessy Terrero,Comedy,16000000,13922211,19204,Soul Plane,R,5/28/2004,86,4.4,Dwayne Adway,Bo Zenga,2004
Working Title Films,UK,Jonathan Frakes,Action,57000000,6768055,11740,Thunderbirds,PG,7/30/2004,95,4.2,Bill Paxton,Gerry Anderson,2004
Morgan Creek Productions,USA,Renny Harlin,Horror,50000000,41821986,29891,Exorcist: The Beginning,R,8/20/2004,114,5.1,Stellan Skarsgård,William Peter Blatty,2004
Broken Lizard Industries,USA,Jay Chandrasekhar,Comedy,8600000,4992159,24974,Club Dread,R,2/27/2004,104,5.7,Jay Chandrasekhar,Jay Chandrasekhar,2004
DreamWorks,USA,Robert Luketic,Comedy,24000000,17071962,23925,Win a Date with Tad Hamilton!,PG-13,1/23/2004,100,5.6,Kate Bosworth,Victor Levin,2004
Paramount Pictures,USA,Brian Robbins,Comedy,40000000,10387706,20826,The Perfect Score,PG-13,1/30/2004,93,5.7,Scarlett Johansson,Marc Hyman,2004
United Artists,USA,Brian Dannelly,Comedy,5000000,8940582,41580,Saved!,PG-13,6/11/2004,92,6.8,Jena Malone,Brian Dannelly,2004
Touchstone Pictures,USA,Joe Johnston,Action,100000000,67286731,70672,Hidalgo,PG-13,3/5/2004,136,6.7,Viggo Mortensen,John Fusco,2004
Whitewater Films,USA,Jacob Estes,Crime,500000,603951,27763,Mean Creek,R,9/29/2004,90,7.3,Rory Culkin,Jacob Estes,2004
Screen Gems,USA,Chris Stokes,Drama,8000000,40066497,24154,You Got Served,PG-13,1/30/2004,95,3.5,Omarion Grandberry,Chris Stokes,2004
Revolution Studios,USA,Joe Roth,Comedy,60000000,73780539,30985,Christmas with the Kranks,PG,11/24/2004,99,5.2,Tim Allen,John Grisham,2004
New Line Cinema,USA,Brett Ratner,Action,58000000,28328132,40092,After the Sunset,PG-13,11/12/2004,97,6.3,Pierce Brosnan,Paul Zbyszewski,2004
Warner Bros.,USA,Joseph Kahn,Action,40000000,21215059,24682,Torque,PG-13,1/16/2004,84,4,Martin Henderson,Matt Johnson,2004
The Weinstein Company,UK,Laurence Dunmore,Drama,0,4835065,32405,The Libertine,R,3/10/2006,114,6.4,Johnny Depp,Stephen Jeffreys,2004
Lions Gate Films,UK,Kevin Spacey,Biography,23000000,6318709,13453,Beyond the Sea,PG-13,12/29/2004,118,6.7,Kevin Spacey,Kevin Spacey,2004
Fine Line Features,USA,John Waters,Comedy,15000000,1339668,11124,A Dirty Shame,NC-17,9/24/2004,89,5.1,Tracey Ullman,John Waters,2004
Warner Bros.,USA,Dennie Gordon,Comedy,30000000,14018364,18830,New York Minute,PG,5/7/2004,100,4.9,Mary-Kate Olsen,Emily Fox,2004
Regency Enterprises,USA,Forest Whitaker,Comedy,30000000,9055010,18324,First Daughter,PG,9/24/2004,100,5,Katie Holmes,Jessica Bendinger,2004
Movision,USA,Michael Radford,Drama,18000000,3765585,31158,The Merchant of Venice,R,2/18/2005,131,7.1,Al Pacino,William Shakespeare,2004
New Line Cinema,UK,Jonathan Glazer,Drama,20000000,5005883,31210,Birth,R,10/29/2004,100,6.1,Nicole Kidman,Jean-Claude Carrière,2004
Canal+ España,Spain,Pedro Almodóvar,Crime,5000000,5211842,48212,Bad Education,NC-17,2/11/2005,106,7.5,Gael García Bernal,Pedro Almodóvar,2004
Paramount Pictures,UK,Charles Shyer,Comedy,60000000,13399812,45684,Alfie,R,11/5/2004,103,6.2,Jude Law,Bill Naughton,2004
Apocalypso Pictures,UK,Pawel Pawlikowski,Drama,0,992238,17239,My Summer of Love,R,7/1/2005,86,6.8,Natalie Press,Helen Cross,2004
Pathé Pictures International,UK,Gurinder Chadha,Comedy,7000000,6601079,18188,Bride & Prejudice,PG-13,3/11/2005,111,6.2,Martin Henderson,Jane Austen,2004
Shangri-La Entertainment,USA,George Armitage,Comedy,50000000,6471394,16502,The Big Bounce,PG-13,1/30/2004,88,4.9,Owen Wilson,Elmore Leonard,2004
Dylan Sellers Productions,USA,Kevin Allen,Action,26000000,23222861,12029,Agent Cody Banks 2: Destination London,PG,3/12/2004,100,4.5,Frankie Muniz,Jeffrey Jurgensen,2004
Lions Gate Entertainment,USA,Omar Naim,Action,0,548039,28056,The Final Cut,PG-13,10/15/2004,95,6.2,Robin Williams,Omar Naim,2004
Miramax,USA,Peter Chelsom,Comedy,50000000,57890460,37878,Shall We Dance,PG-13,10/15/2004,106,6.1,Richard Gere,Masayuki Suo,2004
Touchstone Pictures,USA,John Lee Hancock,Drama,107000000,22414961,17664,The Alamo,PG-13,4/9/2004,137,6,Dennis Quaid,Leslie Bohem,2004
Touchstone Pictures,USA,Jay Russell,Action,55000000,74541707,50406,Ladder 49,PG-13,10/1/2004,115,6.5,Joaquin Phoenix,Lewis Colick,2004
Screen Gems,USA,Dwight H. Little,Action,25000000,32238923,23961,Anacondas: The Hunt for the Blood Orchid,PG-13,8/27/2004,97,4.6,Morris Chestnut,Hans Bauer,2004
Touchstone Pictures,USA,Garry Marshall,Comedy,50000000,37486138,32370,Raising Helen,PG-13,5/28/2004,119,6,Kate Hudson,Patrick J. Clifton,2004
Vega Film,France,Christophe Barratier,Drama,0,3635164,47812,The Chorus,PG-13,3/11/2005,97,7.9,Gérard Jugnot,Georges Chaperot,2004
Dash Films,USA,Nicole Kassell,Drama,0,40601,28874,The Woodsman,R,1/21/2005,87,7.2,Kevin Bacon,Steven Fechter,2004
Olga Film GmbH,Germany,Dennis Gansel,Drama,0,144065,11986,Before the Fall,Not specified,1/13/2005,117,7.4,Max Riemelt,Dennis Gansel,2004
ApolloMedia Distribution,Germany,Bob Clark,Comedy,20000000,9109322,26818,Superbabies: Baby Geniuses 2,PG,8/27/2004,88,2,Jon Voight,Steven Paul,2004
Bandai Visual Company,Japan,Mamoru Oshii,Animation,0,1043896,30980,Ghost in the Shell 2: Innocence,PG-13,9/24/2004,100,7.6,Akio Ôtsuka,Shirow Masamune,2004
DreamWorks,USA,Barry Levinson,Comedy,40000000,12181484,27466,Envy,PG-13,4/30/2004,99,4.8,Ben Stiller,Steve Adams,2004
Nine Yards Two Productions,USA,Howard Deutch,Comedy,40000000,16323969,48262,The Whole Ten Yards,PG-13,4/9/2004,98,5.5,Bruce Willis,Mitchell Kapner,2004
Metro-Goldwyn-Mayer (MGM),UK,Irwin Winkler,Biography,20000000,13337299,10018,De-Lovely,PG-13,8/6/2004,125,6.6,Kevin Kline,Jay Cocks,2004
Lions Gate Films,USA,Shainee Gabel,Drama,0,159171,23027,A Love Song for Bobby Long,R,1/21/2005,119,7.2,Scarlett Johansson,Ronald Everett Capps,2004
Bazelevs Production,Russia,Timur Bekmambetov,Action,4200000,1487477,48808,Night Watch,R,3/3/2006,114,6.5,Konstantin Khabenskiy,Timur Bekmambetov,2004
Yash Raj Films,India,Yash Chopra,Drama,7000000,2921738,39916,Veer-Zaara,NOT RATED,11/12/2004,192,7.9,Shah Rukh Khan,Aditya Chopra,2004
Paramount Pictures,Germany,Philip Kaufman,Crime,50000000,25195050,18006,Twisted,R,2/27/2004,97,5.2,Ashley Judd,Sarah Thorp,2004
Pathé,France,Jean-Jacques Annaud,Adventure,0,18947630,12650,Two Brothers,PG,6/25/2004,109,7.1,Guy Pearce,Alain Godard,2004
Walt Disney Pictures,USA,Will Finn,Animation,110000000,50030461,15266,Home on the Range,PG,4/2/2004,76,5.4,Judi Dench,Will Finn,2004
Above All Things Inc.,USA,Asia Argento,Drama,0,29058,5569,The Heart Is Deceitful Above All Things,R,1/19/2005,98,6.6,Asia Argento,Laura Albert,2004
Not specified,USA,Paul Weitz,Comedy,26000000,45489752,50314,In Good Company,PG-13,1/14/2005,100,6.5,Dennis Quaid,Paul Weitz,2004
Twentieth Century Fox Film Corporation,USA,Joel Zwick,Comedy,26000000,48116322,9859,Fat Albert,PG,12/25/2004,93,4.3,Kenan Thompson,Bill Cosby,2004
Hart-Sharp Entertainment,USA,Dylan Kidd,Comedy,0,175408,5299,P.S.,R,2/10/2005,97,6.3,Laura Linney,Helen Schulman,2004
Fox Searchlight Pictures,USA,Christopher Erskin,Comedy,12000000,31179516,6299,Johnson Family Vacation,PG-13,4/7/2004,97,4.4,Cedric the Entertainer,Todd R. Jones,2004
Focus Features,USA,Tod Williams,Comedy,0,3835551,13913,The Door in the Floor,R,8/6/2004,111,6.7,Jeff Bridges,John Irving,2004
Red Carpet Productions,Australia,Cate Shortland,Drama,0,92214,6621,Amor o sexo,NOT RATED,9/16/2004,106,6.8,Abbie Cornish,Cate Shortland,2004
Motion Picture Corporation of America (MPCA),USA,Mick Garris,Horror,5000000,101107,7968,Riding the Bullet,R,2/3/2005,100,5.2,Jonathan Jackson,Mick Garris,2004
Applause Pictures,Hong Kong,Fruit Chan,Horror,0,75829,16728,Three... Extremes,R,8/20/2004,118,7,Bai Ling,Haruko Fukushima,2004
Franchise Pictures,Germany,David Mamet,Action,19250000,4434432,27340,Spartan,R,3/12/2004,102,6.6,Val Kilmer,David Mamet,2004
Remstar Productions,UK,John Duigan,Drama,0,398278,13138,Head in the Clouds,R,7/29/2005,121,6.6,Charlize Theron,John Duigan,2004
Bobby Jones Films LLC,USA,Rowdy Herrington,Biography,0,2694071,3364,Bobby Jones: Stroke of Genius,PG,4/30/2004,129,6.7,Jim Caviezel,Rowdy Herrington,2004
Gemini Films,France,Christophe Honoré,Drama,0,70395,5331,Ma mère,NC-17,8/10/2007,110,5.1,Isabelle Huppert,Georges Bataille,2004
Deep River Productions,Ireland,Peter Howitt,Comedy,28000000,17848322,19776,Las leyes de atracción,PG-13,4/30/2004,90,5.9,Pierce Brosnan,Aline Brosh McKenna,2004
HBO Films,Colombia,Joshua Marston,Crime,3000000,6517198,31546,Maria Full of Grace,R,8/6/2004,101,7.5,Catalina Sandino Moreno,Joshua Marston,2004
Huit et Demi Productions,France,Ziad Doueiri,Crime,0,121166,4054,Lila Says,R,2/24/2006,89,7,Vahina Giocante,Chimo,2004
40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,8000000,365134,6600,She Hate Me,R,7/30/2004,138,5.3,Anthony Mackie,Michael Genet,2004
Claussen & Wöbke Filmproduktion GmbH,Germany,Marco Kreuzpaintner,Comedy,0,95016,11810,Summer Storm,R,9/2/2004,98,7.4,Robert Stadlober,Thomas Bahmann,2004
Pathé Pictures International,UK,Danny Boyle,Comedy,0,6583149,22743,Millions,PG-13,4/29/2005,98,6.9,Alex Etel,Frank Cottrell Boyce,2004
Bob Yari Productions,USA,David Duchovny,Comedy,6000000,371081,7919,House of D,PG-13,4/29/2005,96,7,David Duchovny,David Duchovny,2004
Mid Day Multimedia Limited,India,Anurag Kashyap,Crime,0,34000,13141,Black Friday,NOT RATED,2/9/2007,143,8.6,Kay Kay Menon,Anurag Kashyap,2004
Revolution Studios,USA,Nick Hurran,Comedy,35000000,20422207,15844,Little Black Book,PG-13,8/6/2004,111,5.3,Brittany Murphy,Melissa Carter,2004
Fox Searchlight Pictures,USA,Woody Allen,Comedy,0,3825351,28468,Melinda and Melinda,PG-13,4/8/2005,99,6.5,Will Ferrell,Woody Allen,2004
True West Films,UK,Michael Dowse,Biography,0,120620,17570,It's All Gone Pete Tong,R,5/27/2005,90,7.4,Paul Kaye,Michael Dowse,2004
Les Films Alain Sarde,UK,Mike Leigh,Crime,11000000,3753806,21213,Vera Drake,R,2/4/2005,125,7.7,Imelda Staunton,Mike Leigh,2004
UK Film Council,UK,Charles Dance,Drama,0,6759422,8937,Ladies in Lavender,PG-13,5/27/2005,104,7.1,Judi Dench,William J. Locke,2004
United Artists,USA,David Gordon Green,Drama,0,24947,7587,Undertow,R,12/17/2004,108,6.7,Jamie Bell,Lingard Jervey,2004
Sonet Film AB,Sweden,Kay Pollak,Comedy,0,9910,14388,As It Is in Heaven,Not specified,9/3/2004,133,7.6,Michael Nyqvist,Anders Nyberg,2004
Eulogy Productions LLC,USA,Michael Clancy,Comedy,6500000,70527,7932,Eulogy,R,9/26/2004,91,6.7,Ray Romano,Michael Clancy,2004
Twentieth Century Fox Film Corporation,USA,Donald Petrie,Comedy,26000000,14469428,11058,Welcome to Mooseport,PG-13,2/20/2004,110,5.2,Gene Hackman,Doug Richardson,2004
Ashutosh Gowariker Productions Pvt. Ltd.,India,Ashutosh Gowariker,Drama,0,1223240,66309,Swades,NOT RATED,12/17/2004,195,8.3,Shah Rukh Khan,M.G. Sathya,2004
Destination Films,USA,Alice Wu,Comedy,0,1186323,8312,Saving Face,R,6/24/2005,91,7.5,Joan Chen,Alice Wu,2004
Paramount Pictures,UK,E. Elias Merhige,Crime,27000000,8725813,17171,Suspect Zero,R,8/27/2004,100,5.9,Aaron Eckhart,Zak Penn,2004
Ariztical Entertainment,USA,Q. Allan Brocka,Comedy,50000,155212,5354,Eating Out,UNRATED,2/24/2012,90,5.9,Scott Lunsford,Q. Allan Brocka,2004
Pathé Pictures International,UK,Shona Auerbach,Drama,0,1340891,19530,Dear Frankie,PG-13,4/15/2005,105,7.8,Emily Mortimer,Andrea Gibb,2004
Pathé Pictures International,UK,Roger Michell,Drama,0,358262,9152,Enduring Love,R,11/26/2004,100,6.4,Rhys Ifans,Ian McEwan,2004
Lions Gate Films,Canada,Nick Hamm,Drama,25000000,14379751,23154,Godsend,PG-13,4/30/2004,102,4.8,Robert De Niro,Mark Bomback,2004
Fox Searchlight Pictures,Germany,Pieter Jan Brugge,Drama,0,5763875,12195,The Clearing,R,7/16/2004,95,5.9,Robert Redford,Pieter Jan Brugge,2004
New Line Cinema,USA,Robert Harmon,Action,0,367027,7657,Highwaymen,R,2/19/2004,80,5.7,Jim Caviezel,Craig Mitchell,2004
Alliance Atlantis Communications,Canada,Michael McGowan,Comedy,0,795126,5291,Saint Ralph,PG-13,5/25/2007,98,7.6,Adam Butcher,Michael McGowan,2004
WT2 Productions,UK,Damien O'Donnell,Comedy,0,21864,12466,Rory O'Shea Was Here,R,10/15/2004,104,7.9,James McAvoy,Jeffrey Caine,2004
Metro-Goldwyn-Mayer (MGM),USA,Kevin Rodney Sullivan,Comedy,18000000,65111277,11281,Barbershop 2: Back in Business,PG-13,2/6/2004,106,5.7,Ice Cube,Mark Brown,2004
Serendipity Point Films,Canada,István Szabó,Comedy,18000000,7739049,11052,"Julia, una mujer seductora",R,2/18/2005,104,7,Annette Bening,W. Somerset Maugham,2004
Mij Film Co.,Iran,Bahman Ghobadi,Drama,0,256822,14720,Turtles Can Fly,PG-13,2/23/2005,98,8.1,Soran Ebrahim,Bahman Ghobadi,2004
Front Street Pictures,USA,John Curran,Drama,3000000,2037545,8531,We Don't Live Here Anymore,R,9/3/2004,101,6.3,Mark Ruffalo,Andre Dubus,2004
Beyond Films,UK,Mike Barker,Drama,0,223144,10196,A Good Woman,PG,5/13/2005,93,6.5,Helen Hunt,Oscar Wilde,2004
Jet Tone Films,USA,Michelangelo Antonioni,Drama,0,188248,5387,Eros,R,12/3/2004,104,6,Li Gong,Kar-Wai Wong,2004
Kim Ki-Duk Film,South Korea,Ki-duk Kim,Crime,1000000,238507,41640,3-Iron,R,4/7/2006,88,8.1,Seung-yeon Lee,Ki-duk Kim,2004
Touchstone Pictures,USA,Charles Stone III,Comedy,30000000,21800302,12740,Mr 3000,PG-13,9/17/2004,104,5.5,Bernie Mac,Eric Champnella,2004
La Parti Productions,Belgium,Fabrice du Welz,Horror,0,2623,10084,Calvaire,NOT RATED,3/9/2005,88,6.2,Laurent Lucas,Romain Protat,2004
Lions Gate Films,UK,Richard Eyre,Drama,0,776691,9141,Stage Beauty,R,10/29/2004,106,7.2,Billy Crudup,Jeffrey Hatcher,2004
Extra Large Pictures,USA,Todd Solondz,Comedy,0,553368,11133,Palindromes,NOT RATED,1/21/2005,100,6.8,Jennifer Jason Leigh,Todd Solondz,2004
Lucky 7 Productions LLC,UK,Mick Davis,Biography,12000000,195378,9098,Modigliani,R,9/29/2004,128,7.4,Andy Garcia,Mick Davis,2004
DreamWorks,USA,Mike Mitchell,Comedy,45000000,11663156,18771,Surviving Christmas,PG-13,10/22/2004,91,5.3,Ben Affleck,Deborah Kaplan,2004
Universal Pictures,USA,Michael Lembeck,Comedy,20000000,8054280,7171,Connie and Carla,PG-13,4/16/2004,108,6.3,Nia Vardalos,Nia Vardalos,2004
Bandai Visual Company,Japan,Katsuhiro Ôtomo,Animation,0,410388,14575,Steamboy,PG-13,3/18/2005,126,6.9,Anna Paquin,Sadayuki Murai,2004
Hart-Sharp Entertainment,USA,Michael Mayer,Drama,6500000,1029872,12420,A Home at the End of the World,R,10/14/2004,97,6.8,Colin Farrell,Michael Cunningham,2004
4 Kids Entertainment,Japan,Hatsuki Tsuji,Animation,20000000,19762690,6776,Yu-Gi-Oh!: The Movie,PG,8/13/2004,100,4.6,Dan Green,Masahiro Hikokubo,2004
Rent Productions LLC,USA,Chris Columbus,Drama,40000000,29077547,43683,Rent,PG-13,11/23/2005,135,7,Taye Diggs,Stephen Chbosky,2005
Warner Bros.,USA,Tim Burton,Adventure,150000000,206459076,350762,Charlie and the Chocolate Factory,PG,7/15/2005,115,6.7,Johnny Depp,Roald Dahl,2005
Warner Bros.,UK,Mike Newell,Adventure,150000000,290013036,429209,Harry Potter and the Goblet of Fire,PG-13,11/18/2005,157,7.7,Daniel Radcliffe,Steve Kloves,2005
Warner Bros.,USA,Christopher Nolan,Action,150000000,206852432,1075968,Batman Begins,PG-13,6/15/2005,152,8.3,Christian Bale,Bob Kane,2005
Universal Pictures,USA,Joss Whedon,Action,40000000,25514517,255155,Serenity,PG-13,9/30/2005,119,7.9,Nathan Fillion,Joss Whedon,2005
Warner Bros.,USA,James McTeigue,Action,54000000,70511035,867117,V for Vendetta,R,3/17/2006,132,8.2,Hugo Weaving,Lilly Wachowski,2005
Dimension Films,USA,Frank Miller,Crime,40000000,74103820,690034,Sin City,R,4/1/2005,124,8,Mickey Rourke,Frank Miller,2005
Focus Features,France,Joe Wright,Drama,28000000,38405088,209548,Pride & Prejudice,PG,11/23/2005,129,7.8,Keira Knightley,Jane Austen,2005
Touchstone Pictures,UK,Garth Jennings,Adventure,50000000,51085416,165212,The Hitchhiker's Guide to the Galaxy,PG,4/29/2005,109,6.8,Martin Freeman,Douglas Adams,2005
Focus Features,USA,Ang Lee,Drama,14000000,83043761,276758,Brokeback Mountain,R,1/13/2006,134,7.7,Jake Gyllenhaal,Annie Proulx,2005
New Line Cinema,USA,David Dobkin,Comedy,40000000,209218368,295346,Wedding Crashers,R,7/15/2005,119,7,Owen Wilson,Steve Faber,2005
Walt Disney Pictures,USA,Andrew Adamson,Adventure,180000000,291709845,310549,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,12/9/2005,143,6.9,Tilda Swinton,Ann Peacock,2005
Paramount Pictures,USA,Peter Segal,Comedy,82000000,158119460,139788,The Longest Yard,PG-13,5/27/2005,113,6.4,Adam Sandler,Albert S. Ruddy,2005
Hostel LLC,USA,Eli Roth,Horror,4800000,47326473,147832,Hostel,R,1/6/2006,94,5.9,Jay Hernandez,Eli Roth,2005
Twentieth Century Fox Film Corporation,USA,Ridley Scott,Action,130000000,47398413,232742,Kingdom of Heaven,R,5/6/2005,144,7.2,Orlando Bloom,William Monahan,2005
Lucasfilm,USA,George Lucas,Action,113000000,380262555,570398,Star Wars: Episode III - Revenge of the Sith,PG-13,5/19/2005,140,7.6,Hayden Christensen,George Lucas,2005
Paramount Pictures,USA,Steven Spielberg,Adventure,132000000,234280354,357995,War of the Worlds,PG-13,6/29/2005,116,6.5,Tom Cruise,Josh Friedman,2005
Warner Bros.,USA,Francis Lawrence,Drama,100000000,75976178,253723,Constantine,R,2/18/2005,121,6.9,Keanu Reeves,Jamie Delano,2005
Twentieth Century Fox Film Corporation,Canada,Rob Bowman,Action,43000000,24409722,75843,Elektra,PG-13,1/14/2005,97,4.8,Jennifer Garner,Mark Steven Johnson,2005
Fox 2000 Pictures,USA,James Mangold,Biography,28000000,119519402,198923,Walk the Line,PG-13,11/18/2005,136,7.9,Joaquin Phoenix,Johnny Cash,2005
Celador Films,UK,Neil Marshall,Adventure,0,26024456,167959,The Descent,R,8/4/2006,99,7.2,Shauna Macdonald,Neil Marshall,2005
Metro-Goldwyn-Mayer (MGM),USA,Andrew Douglas,Drama,19000000,65233369,91483,The Amityville Horror,R,4/15/2005,90,6,Ryan Reynolds,Scott Kosar,2005
Columbia Pictures Corporation,USA,Andy Tennant,Comedy,70000000,179495555,259673,Hitch,PG-13,2/11/2005,118,6.6,Will Smith,Kevin Bisch,2005
Universal Pictures,New Zealand,Peter Jackson,Action,207000000,218080025,340976,King Kong,PG-13,12/14/2005,187,7.2,Naomi Watts,Fran Walsh,2005
Universal Pictures,USA,Judd Apatow,Comedy,26000000,109449237,334507,The 40-Year-Old Virgin,R,8/19/2005,116,7.1,Steve Carell,Judd Apatow,2005
Regency Enterprises,USA,Doug Liman,Action,120000000,186336279,379073,Mr. & Mrs. Smith,PG-13,6/10/2005,120,6.5,Brad Pitt,Simon Kinberg,2005
Twisted Pictures,USA,Darren Lynn Bousman,Horror,4000000,87039965,201006,Saw II,R,10/28/2005,93,6.6,Donnie Wahlberg,Leigh Whannell,2005
Samuel Goldwyn Films,USA,Noah Baumbach,Comedy,1500000,7362100,64252,The Squid and the Whale,R,12/16/2005,81,7.4,Owen Kline,Noah Baumbach,2005
Lions Gate Films,USA,Rob Zombie,Crime,7000000,17044981,80744,The Devil's Rejects,R,7/22/2005,107,6.9,Sid Haig,Rob Zombie,2005
Warner Bros.,USA,Tim Burton,Animation,40000000,53359111,205383,Corpse Bride,PG,9/23/2005,77,7.4,Johnny Depp,Tim Burton,2005
Walt Disney Pictures,USA,Mike Mitchell,Adventure,35000000,63946815,66438,Sky High,PG,7/29/2005,100,6.2,Kurt Russell,Paul Hernandez,2005
DreamWorks,USA,Michael Bay,Action,126000000,35818913,275721,The Island,PG-13,7/22/2005,136,6.9,Scarlett Johansson,Caspian Tredwell-Owen,2005
Gold Circle Films,USA,Clare Kilner,Comedy,15000000,31726995,41497,The Wedding Date,PG-13,2/4/2005,90,6.1,Dermot Mulroney,Elizabeth Young,2005
Baker Street,USA,Lexi Alexander,Crime,0,344095,125881,Green Street Hooligans,R,11/25/2005,109,7.5,Elijah Wood,Lexi Alexander,2005
Universal Pictures,USA,Ron Howard,Biography,88000000,61649911,156991,Cinderella Man,PG-13,6/3/2005,144,8,Russell Crowe,Cliff Hollingsworth,2005
Universal Pictures,USA,Sam Mendes,Action,72000000,62658220,152251,Jarhead,R,11/4/2005,125,7,Jake Gyllenhaal,William Broyles Jr.,2005
DreamWorks,France,Steven Spielberg,Crime,70000000,47403685,186355,Munich,R,1/6/2006,164,7.6,Eric Bana,Tony Kushner,2005
Metro-Goldwyn-Mayer (MGM),USA,F. Gary Gray,Comedy,53000000,56046979,61786,Be Cool,PG-13,3/4/2005,118,5.7,John Travolta,Elmore Leonard,2005
Miramax,USA,Florent-Emilio Siri,Action,52000000,34639939,97552,Hostage,R,3/11/2005,113,6.6,Bruce Willis,Robert Crais,2005
New Line Cinema,USA,David Cronenberg,Crime,32000000,31493782,198947,A History of Violence,R,9/30/2005,96,7.5,Viggo Mortensen,John Wagner,2005
Twentieth Century Fox Film Corporation,USA,Tim Story,Action,100000000,154696080,280250,Fantastic Four,PG-13,7/8/2005,106,5.7,Ioan Gruffudd,Mark Frost,2005
BBC Films,UK,Woody Allen,Drama,15000000,23089926,178918,Match Point,R,1/20/2006,124,7.7,Scarlett Johansson,Woody Allen,2005
Columbia Pictures Corporation,USA,Jon Favreau,Action,65000000,29258869,74238,Zathura: A Space Adventure,PG,11/11/2005,101,6.1,Josh Hutcherson,Chris Van Allsburg,2005
Universal Pictures,USA,Kirk Jones,Comedy,25000000,47144110,55077,Nanny McPhee,PG,1/27/2006,97,6.6,Emma Thompson,Emma Thompson,2005
DreamWorks Animation,USA,Eric Darnell,Animation,75000000,193595521,294387,Madagascar,PG,5/27/2005,86,6.9,Chris Rock,Mark Burton,2005
Warner Bros.,USA,Jay Chandrasekhar,Action,50000000,80270227,68938,The Dukes of Hazzard,PG-13,8/5/2005,104,5.1,Seann William Scott,John O'Brien,2005
